fullname,head,ogrn,class
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ БЕЗДОМНЫМ ЖИВОТНЫМ ""КОТ И ПЕС""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""КОТ И ПЕС""",1151600000078,9
"ДАГЕСТАНСКАЯ РЕСПУБЛИКАНСКАЯ ОРГАНИЗАЦИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""РОССИЙСКИЙ СОЮЗ ВЕТЕРАНОВ АФГАНИСТАНА""",ДРО ООО РСВА,1020500002600,7
"МЕЖРЕГИОНАЛЬНОЕ ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ ПО СОДЕЙСТВИЮ РАЗВИТИЮ ИНСТИТУТОВ ИНТЕГРАЦИИ ЕВРАЗИИ ""ЕВРАЗИЙСКОЕ ДВИЖЕНИЕ""",ЕВРАЗИЙСКОЕ ДВИЖЕНИЕ,1167700063332,4
АССОЦИАЦИЯ СПЕЦИАЛИСТОВ РЕСПИРАТОРНОЙ ПОДДЕРЖКИ И ПАЛЛИАТИВНОЙ ПОМОЩИ,АРПП,1197700005370,2
"КРАСНОДАРСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ПОИСКОВО-ИССЛЕДОВАТЕЛЬСКАЯ ОРГАНИЗАЦИЯ ""ВЫСОТА""","КРОПИО ""ВЫСОТА""",1162300052518,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ОКАЗАНИЮ УСЛУГ В СФЕРЕ КУЛЬТУРЫ И ИСКУССТВА ""ПОП-МЕХАНИКА""","АНО ""ПОП-МЕХАНИКА""",1177800002555,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СПОРТИВНО-ТЕХНИЧЕСКИЙ КЛУБ ""ПИЛОТ""","АНО СТК ""ПИЛОТ""",1165000054900,4
"ГУБКИНСКАЯ МЕСТНАЯ ОРГАНИЗАЦИЯ БЕЛГОРОДСКОЙ РЕГИОНАЛЬНОЙ ОРГАНИЗАЦИИ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ИНВАЛИДОВ""",ГУБКИНСКАЯ МО БРО ООО ВОИ,1023100007908,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РАЗВИВАЮЩИЙ ЦЕНТР ТЕХНИЧЕСКОГО ТВОРЧЕСТВА ""ИМПУЛЬС""","АНО ""РЦТТ ""ИМПУЛЬС""",1197232011998,3
"ЛЫСЬВЕНСКАЯ ГОРОДСКАЯ ОРГАНИЗАЦИЯ ПЕРМСКОЙ КРАЕВОЙ ОРГАНИЗАЦИИ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ИНВАЛИДОВ""",ЛЫСЬВЕНСКАЯ ГОРОДСКАЯ ОРГАНИЗАЦИЯ ВОИ,1025900008012,1
АССОЦИАЦИЯ СОДЕЙСТВИЯ НЕГОСУДАРСТВЕННОМУ ОБРАЗОВАНИЮ ПРИКАМЬЯ,"АССОЦИАЦИЯ ""СНОП""",1175958013197,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПАНСИОНАТ ДЛЯ ПОЖИЛЫХ ЛЮДЕЙ ""ДОБРОЕ СЕРДЦЕ""","АНО ПАНСИОНАТ ""ДОБРОЕ СЕРДЦЕ""",1184200000490,1
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КОНГРЕСС ТАТАР РЕСПУБЛИКИ БАШКОРТОСТАН""",РОО КТ РБ,1120200004330,6
"ТУЛЬСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КЛУБ ИСТОРИКО-ТЕХНИЧЕСКОГО СТЕНДОВОГО МОДЕЛИЗМА ""НАСЛЕДИЕ ЛЕВШИ""","ТРОО ""КЛУБ ИСТОРИКО-ТЕХНИЧЕСКОГО СТЕНДОВОГО МОДЕЛИЗМА ""НАСЛЕДИЕ ЛЕВШИ""",1157154024400,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ПРЕДОСТАВЛЕНИЮ УСЛУГ В СФЕРЕ ПРОФИЛАКТИКИ ЗАВИСИМОСТЕЙ И ПОПУЛЯРИЗАЦИИ ТРЕЗВОГО МИРОВОЗЗРЕНИЯ ""ТРЕЗВЫЙ СИНДИКАТ""","АНО ""ТРЕЗВЫЙ СИНДИКАТ""",1185000000547,2
"АЛТАЙСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ МАЛОГО И СРЕДНЕГО ПРЕДПРИНИМАТЕЛЬСТВА ""ОПОРА РОССИИ""","АРО ""ОПОРА РОССИИ""",1140400000201,8
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОЦИАЛЬНЫХ УСЛУГ ""ДОМ МИЛОСЕРДИЯ""","АНО ""ДОМ МИЛОСЕРДИЯ""",1167800051473,3
"ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ЦЕНТР ИЗУЧЕНИЯ ИНОСТРАННЫХ ЯЗЫКОВ ""ГЛАГОЛЬ""","ЧУДО ""ЦЕНТР ИЗУЧЕНИЯ ИНОСТРАННЫХ ЯЗЫКОВ ""ГЛАГОЛЬ""",1114400000330,5
"МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД СОБОРА В ЧЕСТЬ ПРЕОБРАЖЕНИЯ ГОСПОДНЯ Г. БУТУРЛИНОВКА ВОРОНЕЖСКОЙ ОБЛАСТИ РЕЛИГИОЗНОЙ ОРГАНИЗАЦИИ ""БОРИСОГЛЕБСКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""",,1023600011490,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДЕТСКО-ЮНОШЕСКИЙ ФУТБОЛЬНЫЙ КЛУБ ""ЮНАЯ СИБИРЬ""","АНО ФК ""ЮНАЯ СИБИРЬ""",1157232013905,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ИСТОРИКО-ЭТНОГРАФИЧЕСКИЙ МУЗЕЙ ДОНДИ-ЮРТ""","АНО ""МУЗЕЙ ДОНДИ-ЮРТ""",1162036055147,6
"СТАВРОПОЛЬСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНСТИТУТ РАЗВИТИЯ ГРАЖДАНСКОГО ОБЩЕСТВА, МЕЖНАЦИОНАЛЬНОГО И МЕЖКОНФЕССИОНАЛЬНОГО МИРА ""ЕДИНСТВО""","СРОО ""ЕДИНСТВО""",1142651023778,11
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ ПАТРИОТИЧЕСКОМУ ВОСПИТАНИЮ ДЕТЕЙ И МОЛОДЕЖИ ""ПОКОЛЕНИЕ 21""","РОО ""ПОКОЛЕНИЕ 21""",1167700060791,5
ОКОНЕШНИКОВСКОЕ РАЙОННОЕ ОТДЕЛЕНИЕ ОМСКОЙ ОБЛАСТНОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ВЕТЕРАНОВ (ПЕНСИОНЕРОВ),ОРОООООВП,1045500004395,7
"РЕГИОНАЛЬНАЯ НАУЧНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""АССОЦИАЦИЯ МОЛОДЫХ УЧЕНЫХ РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ""",АМУРСО,1171513002847,5
"""ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ МЕСТНАЯ НАЦИОНАЛЬНО-КУЛЬТУРНАЯ АВТОНОМИЯ ""БЕЛОРУСЫ НЕКЛИНОВСКОГО РАЙОНА""","ООМНКА ""БЕЛОРУСЫ НЕКЛИНОВСКОГО РАЙОНА""",1146100001310,10
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР В ПОДДЕРЖКУ БЕРЕМЕННЫХ ЖЕНЩИН, МАТЕРИНСТВА, ОТЦОВСТВА И СОХРАНЕНИЯ ТРАДИЦИОННЫХ СЕМЕЙНЫХ ЦЕННОСТЕЙ ""ЯРАДА""","АНО ""ЯРАДА""",1183600000693,3
БЛАГОТВОРИТЕЛЬНЫЙ ФОНД РУСЛАНА КИМА,БЛАГОТВОРИТЕЛЬНЫЙ ФОНД РУСЛАНА КИМА,1173850042046,2
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЖЕНСОВЕТ БЛАГОВЕЩЕНСКОГО РАЙОНА""","ОО ""ЖЕНСОВЕТ БЛАГОВЕЩЕНСКОГО РАЙОНА""",1122800000454,3
"КРАСНОЯРСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ЗАЩИТЫ ЖИВОТНЫХ ""БЕЗДОМНЫЙ ПЁС""","КРООЗЖ ""БЕЗДОМНЫЙ ПЁС""",1172468069135,9
"АВТОНОМНАЯ ЭКОЛОГИЧЕСКАЯ ПРИРОДООХРАННАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЭПИШУРА""","АЭПНО ""ЭПИШУРА""",1193850026391,9
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ДОБРОЕ СЕРДЦЕ""","БФ ""ДОБРОЕ СЕРДЦЕ""",1171001005977,6
"БАШКИРСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ПОТРЕБИТЕЛЕЙ ""СОЮЗ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ ФИНАНСОВЫХ УСЛУГ""","БАШКИРСКОЕ РООООП ""ФИНПОТРЕБСОЮЗ""",1120200004924,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""УСТОЙЧИВОЕ РАЗВИТИЕ ГОРНЫХ ТЕРРИТОРИЙ АЛТАЯ ""НАДЕЖДА""","АНО ""НАДЕЖДА""",1130400000345,9
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДЕТСКИЙ СПОРТИВНЫЙ КЛУБ ""ВИТЯЗЬ""","АНО ДСК ""ВИТЯЗЬ""",1161215062832,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР АБИЛИТАЦИИ И СОЦИАЛЬНОЙ АДАПТАЦИИ ДЕТЕЙ С НАРУШЕНИЯМИ СЛУХА И РЕЧИ ""ГОВОРУН""","ЦЕНТР СОЦИАЛЬНОЙ АДАПТАЦИИ ДЕТЕЙ ""ГОВОРУН""",1137799015551,3
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""АССОЦИАЦИЯ ПСИХОЛОГОВ БУРЯТИИ""","РОО ""АССОЦИАЦИЯ ПСИХОЛОГОВ БУРЯТИИ""",1180327010357,5
"МЕЖРЕГИОНАЛЬНАЯ СОЦИАЛЬНО ОРИЕНТИРОВАННАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ОБЪЕДИНЕННЫЙ СОЮЗ ВЕТЕРАНОВ ВОЙНЫ И ВОЕННОЙ СЛУЖБЫ СЕВЕРО-ЗАПАДА""","МСООО ""СПБ ОБЪЕДИНЕННЫЙ СОЮЗ ВЕТЕРАНОВ ВОЙНЫ И ВОЕННОЙ СЛУЖБЫ СЗ""",1127800014858,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ИЗУЧЕНИЯ СОВРЕМЕННОЙ ТУРЦИИ""",АНО ЦИСТ,1167700059890,11
"ТОМСКАЯ РЕГИОНАЛЬНАЯ БЛАГОТВОРИТЕЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СПРЯТАННЫЙ МИР""","ТРБОО ""СПРЯТАННЫЙ МИР""",1057000024564,1
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ БОДИБИЛДИНГА УДМУРТСКОЙ РЕСПУБЛИКИ""","РОО ""ФБУР""",1021800006128,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ИНСТИТУТ ЭКОНОМИКИ РОСТА ИМЕНИ СТОЛЫПИНА П.А.""","АНО ""ИНСТИТУТ ЭКОНОМИКИ РОСТА""",1177700006725,12
"РЕПЬЕВСКАЯ РАЙОННАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ВСЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ВЕТЕРАНОВ (ПЕНСИОНЕРОВ) ВОЙНЫ, ТРУДА, ВООРУЖЕННЫХ СИЛ И ПРАВООХРАНИТЕЛЬНЫХ ОРГАНОВ",РЕПЬЕВСКАЯ РАЙОННАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ВСЕРОССИЙСКОЙ ОРГАНИЗАЦИИ ВЕТЕРАНОВ,1123600001458,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО РЕАЛИЗАЦИИ СОЦИАЛЬНЫХ ПРОГРАММ ""ПРОЕКТ ПАРУС""","АНО ""ПРОЕКТ ПАРУС""",1163926082451,3
"АССОЦИАЦИЯ СПОРТИВНЫХ, ВОЕННО-ПАТРИОТИЧЕСКИХ И КУЛЬТУРНО-ОБРАЗОВАТЕЛЬНЫХ КЛУБОВ, ЦЕНТРОВ И ОБЪЕДИНЕНИЙ ""СЫНЫ ОТЕЧЕСТВА""","АССОЦИАЦИЯ ""СЫНЫ ОТЕЧЕСТВА""",1157700015406,9
"ОБЩЕОБРАЗОВАТЕЛЬНАЯ АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ПРАВОСЛАВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ГИМНАЗИЯ ИМЕНИ ПРЕПОДОБНЫХ СТАРЦЕВ ГЛИНСКИХ"" ГОРОДСКОГО ОКРУГА ГОРОД ФРОЛОВО","ОАНО ""ПРАВОСЛАВНАЯ ГИМНАЗИЯ"" Г. ФРОЛОВО",1163443052080,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОЦИАЛЬНОЙ ПОМОЩИ СЕМЬЕ И ДЕТЯМ ""ДИАЛОГ""","АНО ЦСПСД ""ДИАЛОГ""",1195658008930,3
"ЛЕНИНГРАДСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ВСЕРОССИЙСКОГО ОБЩЕСТВЕННОГО ДВИЖЕНИЯ ""ВОЛОНТЁРЫ ПОБЕДЫ""","ЛРО ВОД ""ВОЛОНТЁРЫ ПОБЕДЫ""",1174700000860,7
"АРХАНГЕЛЬСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ФИЗИЧЕСКОГО И ДУХОВНОГО РАЗВИТИЯ ""АКУНА МАТАТА"" (ЖИТЬ БЕЗ ЗАБОТ)","АРОО ""ЦФДР ""АКУНА МАТАТА"" (ЖИТЬ БЕЗ ЗАБОТ)",1172901003978,2
"ПСКОВСКАЯ РЕГИОНАЛЬНАЯ СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ПРО СПОРТ""","ПРСОО ""ПС""",1166000050501,2
"ФОНД ""ЦЕНТР РАЗВИТИЯ ПРЕДПРИНИМАТЕЛЬСТВА""","ФОНД ""ЦРП""",1145000000980,12
"КРАСНОДАРСКАЯ КРАЕВАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ РОДИТЕЛЕЙ ДЕТЕЙ-ИНВАЛИДОВ ""РАДОСТЬ ЖИЗНИ""","ККООРДИ ""РАДОСТЬ ЖИЗНИ""",1132300004132,1
"НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ПРАВОСЛАВНЫЙ ЗОСИМО-САВВАТЬЕВСКИЙ ЦЕНТР""","НОЧУ ДО ""ПРАВОСЛАВНЫЙ ЗОСИМО-САВВАТЬЕВСКИЙ ЦЕНТР""",1047796869394,3
"СВЕРДЛОВСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ОБРАЗОВАТЕЛЬНЫХ И НАУЧНЫХ ИНИЦИАТИВ ""РАЗВИТИЕ""","СРОО ""ЦОНИ""РАЗВИТИЕ""",1156600002041,5
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ЭНГЕЛЬССКОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ КЛУБ ЕДИНОБОРСТВ ""КОБРА""","МОО ЭНГЕЛЬССКОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ КЛУБ ЕДИНОБОРСТВ ""КОБРА""",1156400000118,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОЦИАЛЬНО-МЕДИЦИНСКОГО ОБСЛУЖИВАНИЯ ""ПОКРОВСКАЯ ОБИТЕЛЬ""","АНО ""ПОКРОВСКАЯ ОБИТЕЛЬ""",1154700000476,1
"СОЦИАЛЬНО ОРИЕНТИРОВАННАЯ АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР РАЗВИТИЯ СЕМЬИ И ДЕТСТВА""","СО АНО ""ЦЕНТР РАЗВИТИЯ СЕМЬИ И ДЕТСТВА""",1188600000412,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОПРОВОЖДЕНИЯ ПРОЕКТОВ АКАДЕМИИ НАУК""","АНО ""ЦСП РАН""",1186658088550,5
ФОНД СОДЕЙСТВИЯ СОХРАНЕНИЮ И РАЗВИТИЮ ЭТНОКУЛЬТУРНОЙ ИДЕНТИЧНОСТИ ИСТОРИЧЕСКИХ ЭТНОСОВ КРЫМА ИМ. М. ВАИТОВА,ФОНД ИМ. М.ВАИТОВА,1175000001208,7
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ СОХРАНЕНИЯ КУЛЬТУРЫ МАЛОЧИСЛЕННЫХ НАРОДОВ КЕМЕРОВСКОЙ ОБЛАСТИ И НАЦИОНАЛЬНЫХ ВИДОВ СПОРТА""","РОО ""ФЕДЕРАЦИЯ СОХРАНЕНИЯ КУЛЬТУРЫ МАЛОЧИСЛЕННЫХ НАРОДОВ""",1124200000297,10
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР ПОМОЩИ ДОМАШНИМ И БЕЗДОМНЫМ ЖИВОТНЫМ ""ДЖЕССИ""","АНО ЦПДИБЖ ""ДЖЕССИ""",1197154005916,9
"СТАНИЧНОЕ КАЗАЧЬЕ ОБЩЕСТВО ""СТАНИЦА ГРЕБЕНСКАЯ""","СКО ""СТАНИЦА ГРЕБЕНСКАЯ""",1157800005307,6
"ФОНД ПОДДЕРЖКИ ИСТОРИИ, ЯЗЫКА И ТРАДИЦИЙ НАРОДОВ СЕВЕРНОГО КАВКАЗА ""МУЛЬТИКУЛЬТУРА""","ФОНД ""МУЛЬТИКУЛЬТУРА""",1180726003424,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ВЕКТОР РАЗВИТИЯ КОМФОРТНОЙ СРЕДЫ""","АНО ""ВЕКТОР РАЗВИТИЯ""",1195958017420,7
"КАЛИНИНГРАДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КЛУБ ЛЮБИТЕЛЕЙ АДЖИЛИТИ ""ИШТАР""","КРОО КЛА ""ИШТАР""",1153926003076,2
АССОЦИАЦИЯ БРОКЕРОВ ИННОВАЦИЙ И ТЕХНОЛОГИЙ,АБИТ,1167700073958,5
"ЧАСТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ИНОСТРАННЫХ ЯЗЫКОВ ""МИР ЗНАНИЙ""","ЧОУ ШКОЛА С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ИНОСТРАННЫХ ЯЗЫКОВ ""МИР ЗНАНИЙ""",1025002876832,5
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""СОСЕДИ"" СЕЛА РОВНЫ НИКОЛАЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""ВЕЙДЕЛЕВСКИЙ РАЙОН"" БЕЛГОРОДСКОЙ ОБЛАСТИ","ТОС ""СОСЕДИ""",1193100000147,2
"ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""УЧЕБНО-СПОРТИВНЫЙ ЦЕНТР ДОСААФ РОССИИ ЮЖНОГО АДМИНИСТРАТИВНОГО ОКРУГА Г. МОСКВЫ"" РЕГИОНАЛЬНОГО ОТДЕЛЕНИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННО-ГОСУДАРСТВЕННОЙ ОРГАНИЗАЦИИ ""ДОБРОВОЛЬНОЕ ОБЩЕСТВО СОДЕЙСТВИЯ АРМИИ, АВИАЦИИ И ФЛОТУ РОССИИ"" Г. МОСКВЫ","ПОУ ""УСЦ ДОСААФ РОССИИ ЮАО Г. МОСКВЫ""",1027700547456,4
"АССОЦИАЦИЯ ПРИЕМНЫХ РОДИТЕЛЕЙ, ОПЕКУНОВ И ПОПЕЧИТЕЛЕЙ ""СТОЛИЧНАЯ СЕМЬЯ""","АССОЦИАЦИЯ ""СТОЛИЧНАЯ СЕМЬЯ""",1167700060142,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР РАЗВИТИЯ И ОБЪЕДИНЕНИЯ ПРЕДПРИНИМАТЕЛЕЙ ""ДЕЛОВОЙ КЛУБ ЭТАЛОН""","АНО ""ЦЕНТР РАЗВИТИЯ И ОБЪЕДИНЕНИЯ ПРЕДПРИНИМАТЕЛЕЙ ""ДЕЛОВОЙ КЛУБ ЭТАЛОН""",1167800054487,4
МЕЖДУНАРОДНАЯ АССОЦИАЦИЯ СТУДЕНЧЕСКОГО ТЕЛЕВИДЕНИЯ,МАСТ,1157700018190,4
"ДИМИТРОВГРАДСКАЯ МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ПОПЕЧИТЕЛЬСКИЙ СОВЕТ ОБЛАСТНОГО ГОСУДАРСТВЕННОГО КАЗЁННОГО УЧРЕЖДЕНИЯ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ ""РАДУГА"" В Г.ДИМИТРОВГРАДЕ""","ДМОО ПС ОГКУСО СРЦН ""РАДУГА""",1197325014182,1
"НОВОСИБИРСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО РАЗВИТИЮ ВЕЛОСИПЕДНОГО ТРАНСПОРТА И СПОРТА ""ПРИВЕТ, ВЕЛОСИПЕД!""","НООО РВТС ""ПРИВЕТ, ВЕЛОСИПЕД!""",1145476058782,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНЫЙ ИНСТИТУТ ПОДДЕРЖКИ СОЦИАЛЬНЫХ ПРОЕКТОВ""","АНО ""НАЦИОНАЛЬНЫЙ ИНСТИТУТ ПОДДЕРЖКИ СОЦИАЛЬНЫХ ПРОЕКТОВ""",1147799008895,2
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СЕВАСТОПОЛЬСКИЙ ФОНД ВОЗРОЖДЕНИЯ КРЫМСКОТАТАРСКОЙ КУЛЬТУРЫ ИМЕНИ ПРОФЕССОРА С. О. ИЗИДИНОВА""",,1159204005894,6
"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ВСЕКРЫМСКИЙ ЕВРЕЙСКИЙ КОНГРЕСС""",ВЕК,1149102033520,7
"КАЛИНИНГРАДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КАЛИНИНГРАДСКИЙ ГИРЕВОЙ КЛУБ ""100"" ПУДОВ""","КРОО ""КАЛИНИНГРАДСКИЙ ГИРЕВОЙ КЛУБ ""100"" ПУДОВ""",1153926013230,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ""ЗДОРОВЬЕ НАЦИИ""","АНО ""НПЦ ""ЗДОРОВЬЕ НАЦИИ""",1175543006374,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОЦИАЛЬНОЙ РЕАБИЛИТАЦИИ НУЖДАЮЩИХСЯ ""ЖИЗНЬ""","АНО ""ЖИЗНЬ""",1184200000544,1
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ЕДИНСТВО""","БФ ""ЕДИНСТВО""",1165958104542,2
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""АССОЦИАЦИЯ ПРИЕМНЫХ СЕМЕЙ ПРИМОРСКОГО КРАЯ""","РОО ""АССОЦИАЦИЯ ПРИЕМНЫХ СЕМЕЙ ПРИМОРСКОГО КРАЯ""",1172500002058,3
